Freq.	V(vout3)
1.99526231496886e+004	(-5.26470105834703e+000dB,-1.51817497663693e+002°)
2.04173794466951e+004	(-5.12368321421245e+000dB,-1.51857250401376e+002°)
2.08929613085402e+004	(-4.98538336435042e+000dB,-1.51922803663791e+002°)
2.13796208950221e+004	(-4.84984327830309e+000dB,-1.52012783818596e+002°)
2.18776162394953e+004	(-4.71709655503602e+000dB,-1.52125867702950e+002°)
2.23872113856832e+004	(-4.58716934453452e+000dB,-1.52260780870948e+002°)
2.29086765276775e+004	(-4.46008098881456e+000dB,-1.52416295850019e+002°)
2.34422881531990e+004	(-4.33584459194907e+000dB,-1.52591230437248e+002°)
2.39883291901947e+004	(-4.21446752788620e+000dB,-1.52784446058137e+002°)
2.45470891568501e+004	(-4.09595189402044e+000dB,-1.52994846203317e+002°)
2.51188643150956e+004	(-3.98029491768514e+000dB,-1.53221374953095e+002°)
2.57039578276884e+004	(-3.86748932197956e+000dB,-1.53463015595086e+002°)
2.63026799189536e+004	(-3.75752365663018e+000dB,-1.53718789336572e+002°)
2.69153480392689e+004	(-3.65038259891640e+000dB,-1.53987754110327e+002°)
2.75422870333814e+004	(-3.54604722907224e+000dB,-1.54269003470456e+002°)
2.81838293126443e+004	(-3.44449528400320e+000dB,-1.54561665573122e+002°)
2.88403150312658e+004	(-3.34570139263380e+000dB,-1.54864902235895e+002°)
2.95120922666636e+004	(-3.24963729572487e+000dB,-1.55177908068599e+002°)
3.01995172040199e+004	(-3.15627205256667e+000dB,-1.55499909668117e+002°)
3.09029543251356e+004	(-3.06557223656708e+000dB,-1.55830164869390e+002°)
3.16227766016835e+004	(-2.97750212140444e+000dB,-1.56167962044847e+002°)
3.23593656929625e+004	(-2.89202385910748e+000dB,-1.56512619444734e+002°)
3.31131121482588e+004	(-2.80909765115219e+000dB,-1.56863484571103e+002°)
