Freq.	V(vout)
Step Information: Run=1  (Run: 1/18)
1.25892541179416e+004	(1.12422251523667e+001dB,8.87846569091607e-001°)
1.28824955169312e+004	(1.11411190963862e+001dB,-3.23388450241535e-001°)
1.31825673855640e+004	(1.10357885613004e+001dB,-1.48212127290074e+000°)
1.34896288259164e+004	(1.09267336125778e+001dB,-2.58848805149041e+000°)
1.38038426460287e+004	(1.08144330092237e+001dB,-3.64284383839882e+000°)
1.41253754462274e+004	(1.06993425806063e+001dB,-4.64573695575632e+000°)
1.44543977074591e+004	(1.05818941582241e+001dB,-5.59788427298848e+000°)
1.47910838816819e+004	(1.04624949894586e+001dB,-6.50014777550330e+000°)
1.51356124843619e+004	(1.03415275602909e+001dB,-7.35351269254113e+000°)
1.54881661891247e+004	(1.02193497567479e+001dB,-8.15906735203425e+000°)
1.58489319246110e+004	(1.00962952996528e+001dB,-8.91798484649129e+000°)
1.62181009735891e+004	(9.97267439335129e+000dB,-9.63150652623654e+000°)
1.65958690743755e+004	(9.84877453586892e+000dB,-1.03009272837476e+001°)
1.69824365246173e+004	(9.72486144495843e+000dB,-1.09275825537714e+001°)
1.73780082874936e+004	(9.60118006136539e+000dB,-1.15128369265228e+001°)
1.77827941003891e+004	(9.47795559713597e+000dB,-1.20580742536761e+001°)
1.81970085860997e+004	(9.35539460275018e+000dB,-1.25646891171975e+001°)
1.86208713666285e+004	(9.23368603220382e+000dB,-1.30340795276548e+001°)
1.90546071796323e+004	(9.11300228984660e+000dB,-1.34676407199753e+001°)
1.94984459975803e+004	(8.99350024681577e+000dB,-1.38667599194308e+001°)
1.99526231496886e+004	(8.87532221831644e+000dB,-1.42328119578529e+001°)
2.04173794466951e+004	(8.75859689583609e+000dB,-1.45671556288496e+001°)
2.08929613085402e+004	(8.64344023069967e+000dB,-1.48711306804497e+001°)
2.13796208950221e+004	(8.52995626723162e+000dB,-1.51460553535947e+001°)
2.18776162394953e+004	(8.41823792525382e+000dB,-1.53932243848690e+001°)
2.23872113856832e+004	(8.30836773276874e+000dB,-1.56139074015018e+001°)
2.29086765276775e+004	(8.20041851051076e+000dB,-1.58093476458143e+001°)
2.34422881531990e+004	(8.09445401064172e+000dB,-1.59807609747841e+001°)
2.39883291901947e+004	(7.99052951226266e+000dB,-1.61293350881943e+001°)
2.45470891568501e+004	(7.88869237665034e+000dB,-1.62562289458884e+001°)
