Freq.	V(vout3)+V(vout2)+V(vout1)
1.38038426460287e+004	(5.96929895349755e+000dB,-1.78213501165978e+002°)
1.41253754462274e+004	(5.99079066262530e+000dB,-1.78003832441587e+002°)
1.44543977074591e+004	(6.01299527653692e+000dB,-1.77800639359656e+002°)
1.47910838816819e+004	(6.03588111623717e+000dB,-1.77604027021147e+002°)
1.51356124843619e+004	(6.05941548420597e+000dB,-1.77414094281498e+002°)
1.54881661891247e+004	(6.08356470024973e+000dB,-1.77230933103545e+002°)
1.58489319246110e+004	(6.10829414723928e+000dB,-1.77054627923494e+002°)
1.62181009735891e+004	(6.13356832662019e+000dB,-1.76885255036622e+002°)
1.65958690743755e+004	(6.15935092346543e+000dB,-1.76722882009404e+002°)
1.69824365246173e+004	(6.18560488072477e+000dB,-1.76567567124636e+002°)
1.73780082874936e+004	(6.21229248220950e+000dB,-1.76419358865922e+002°)
1.77827941003891e+004	(6.23937544373918e+000dB,-1.76278295447606e+002°)
1.81970085860997e+004	(6.26681501176964e+000dB,-1.76144404395812e+002°)
1.86208713666285e+004	(6.29457206872147e+000dB,-1.76017702185796e+002°)
1.90546071796323e+004	(6.32260724413739e+000dB,-1.75898193940184e+002°)
1.94984459975803e+004	(6.35088103071695e+000dB,-1.75785873192096e+002°)
1.99526231496886e+004	(6.37935390420971e+000dB,-1.75680721716350e+002°)
2.04173794466951e+004	(6.40798644609524e+000dB,-1.75582709431237e+002°)
2.08929613085402e+004	(6.43673946793932e+000dB,-1.75491794372500e+002°)
2.13796208950221e+004	(6.46557413629487e+000dB,-1.75407922740319e+002°)
2.18776162394953e+004	(6.49445209700920e+000dB,-1.75331029019253e+002°)
2.23872113856832e+004	(6.52333559781094e+000dB,-1.75261036170221e+002°)
2.29086765276775e+004	(6.55218760807625e+000dB,-1.75197855892797e+002°)
2.34422881531990e+004	(6.58097193471737e+000dB,-1.75141388955248e+002°)
2.39883291901947e+004	(6.60965333319338e+000dB,-1.75091525589045e+002°)
2.45470891568501e+004	(6.63819761271437e+000dB,-1.75048145943821e+002°)
2.51188643150956e+004	(6.66657173479279e+000dB,-1.75011120598176e+002°)
2.57039578276884e+004	(6.69474390438918e+000dB,-1.74980311121142e+002°)
2.63026799189536e+004	(6.72268365300089e+000dB,-1.74955570678701e+002°)
2.69153480392689e+004	(6.75036191315025e+000dB,-1.74936744679344e+002°)
2.75422870333814e+004	(6.77775108384097e+000dB,-1.74923671452428e+002°)
2.81838293126443e+004	(6.80482508666563e+000dB,-1.74916182952884e+002°)
2.88403150312658e+004	(6.83155941236179e+000dB,-1.74914105485784e+002°)
2.95120922666636e+004	(6.85793115772686e+000dB,-1.74917260444266e+002°)
3.01995172040199e+004	(6.88391905291058e+000dB,-1.74925465054441e+002°)
3.09029543251356e+004	(6.90950347920768e+000dB,-1.74938533121099e+002°)
